train_loss,val_loss,r2_score,epoch,weight_mean,weight_std,grad_mean,grad_std,epoch_time_ms,split,train_loss_pos,train_loss_vel,val_loss_pos,val_loss_vel,r2_score_pos,r2_score_vel
1135.759868724926,984.0307006835938,-532.5485976909322,1,0.0020604336,0.118849546,1.5879774e-05,0.0021660915,302.04272270202637,0,696.7975476239178,438.96232226947404,649.7880859375,334.24261474609375,-784.9396353354485,-280.1575600464159
1126.8647810102584,928.4780883789062,-501.1899261218881,2,0.0020603216,0.118849486,3.8282564e-05,0.0021658102,293.3487892150879,0,683.4503109218838,443.4144716005068,606.385009765625,322.09307861328125,-732.442215642467,-269.9376366013093
1120.4556480613915,930.9879150390625,-503.87840743634706,3,0.0020602096,0.11884945,2.0157782e-05,0.0021660558,299.84092712402344,0,692.1078466466955,428.3478033392279,615.250732421875,315.7372131347656,-743.1655929746094,-264.5912218980848
1113.6169518823021,947.6263427734375,-514.3169958755173,4,0.0020600941,0.118849404,8.071004e-06,0.0021661338,311.83600425720215,0,673.9829968976545,439.63395539704743,633.9320678710938,313.6942443847656,-765.7612703781965,-262.8727213728379
1124.09666126698,950.75830078125,-517.8968510628011,5,0.0020599791,0.11884935,2.847799e-05,0.00216596,296.1130142211914,0,694.0380243524775,430.0586369145024,646.2169189453125,304.5413513183594,-780.6201937447146,-255.17350838088765
1115.9025147584107,963.3388061523438,-521.8046338689444,6,0.0020598646,0.118849315,2.2517086e-05,0.0021660326,291.48197174072266,0,678.4829659676767,437.4195477597348,638.7053833007812,324.6334228515625,-771.5347492543705,-272.0745184835184
1115.9148886740745,953.28515625,-517.8752996486053,7,0.0020597542,0.11884927,3.204585e-05,0.002165916,299.09300804138184,0,687.3576698646889,428.5572194279851,640.3294067382812,312.9557800292969,-773.4990579511103,-262.2515413461002
1111.7304720491977,896.6800537109375,-485.15570569627914,8,0.0020596406,0.118849225,2.8745073e-05,0.0021659576,284.64198112487793,0,679.3309201077298,432.3995533161335,591.940673828125,304.7393798828125,-714.9713257245601,-255.3400856679982
1112.816426595052,982.8331909179688,-533.5191642090188,9,0.0020595328,0.11884919,8.121229e-06,0.002166133,291.5380001068115,0,674.4073196273666,438.4091079986847,657.79248046875,325.04071044921875,-794.621208536187,-272.4171198818505
1110.6717202126442,991.4205932617188,-535.5144134251321,10,0.002059417,0.118849136,3.8633367e-05,0.002165803,317.7778720855713,0,684.044730246604,426.6269926466383,649.0155029296875,342.40509033203125,-784.0051712839102,-287.0236555663542
1124.9240285512562,967.7364501953125,-524.085382678248,11,0.0020593093,0.11884909,3.877104e-05,0.002165803,281.91590309143066,0,686.0258549870672,438.89817191459036,641.0463256835938,326.69012451171875,-774.3661945247688,-273.80457083172723
1103.4671226707665,884.8312377929688,-480.3436755529214,12,0.0020592003,0.11884904,1.9234267e-05,0.0021660626,288.76185417175293,0,673.23097105284,430.2361504494607,592.87158203125,291.95965576171875,-716.0972892033137,-244.5900619025291
1113.9037186906144,955.2262573242188,-520.1977427017689,13,0.002059097,0.118849,4.47642e-05,0.0021656887,276.2160301208496,0,681.3696322054476,432.53409349596177,648.506591796875,306.71966552734375,-783.3896268644343,-257.00585853910354
1111.6022701778927,943.2203369140625,-511.9569109543173,14,0.0020589894,0.11884895,4.1348103e-05,0.0021657532,294.33321952819824,0,678.9642263876425,432.63804365278367,631.1793212890625,312.0410461425781,-762.4317346546674,-261.4820872539672
1115.3407345333615,963.112060546875,-524.30832743415,15,0.0020588762,0.1188489,1.4343515e-05,0.0021660994,285.63690185546875,0,681.7775407395922,433.5631889824395,652.8171997070312,310.2948303222656,-788.603446080732,-260.013208787568
1104.469443931236,968.2708740234375,-526.430597517337,16,0.0020587647,0.11884886,2.3054545e-05,0.0021660258,292.7060127258301,0,673.0650895952105,431.40435268642665,652.5593872070312,315.71148681640625,-788.2916135516043,-264.56958148306956
1122.1653742059932,953.9420166015625,-519.2328759710194,17,0.0020586483,0.11884881,2.2886157e-05,0.002166028,295.70889472961426,0,683.4680632170256,438.69731683129663,646.2005004882812,307.74151611328125,-780.6003350916997,-257.86541685033933
1097.9009118982262,924.30029296875,-501.9154608624724,18,0.0020585353,0.11884877,2.7868477e-05,0.0021659702,289.3798351287842,0,671.0204293190895,426.8804781114733,619.8648071289062,304.43548583984375,-748.7464650637345,-255.0844566612103
1107.1022157411317,951.503173828125,-516.1567390352299,19,0.0020584234,0.118848726,2.7165208e-05,0.0021659783,300.25506019592285,0,670.9093412107176,436.1928749428139,635.0678100585938,316.43536376953125,-767.1349871637098,-265.1784909067499
1108.8228429845863,938.4068603515625,-511.0900646373191,20,0.0020583053,0.118848674,3.197277e-05,0.0021659127,290.03071784973145,0,676.7678916862419,432.0549504735448,637.46484375,300.9420471191406,-770.0342766799102,-252.14585259472796
1099.1496307098114,942.975341796875,-509.23543490996053,21,0.002058202,0.11884863,2.24698e-05,0.0021660333,298.59399795532227,0,670.2959372030722,428.85369357547245,616.9625244140625,326.0127868652344,-745.2360605673922,-273.23480925252886
1108.1942979967273,979.6735229492188,-533.0290553259297,22,0.0020592003,0.11884904,3.1934902e-05,0.0021659143,303.30491065979004,0,674.5557705990904,433.63852492323866,662.3468627929688,317.32666015625,-800.1298807641648,-265.9282298876946
